;sample;generation;group;gen_group;Valine;Isoleucine;Leucine;triOHbut;Lactate;Alanine;Acetate;Glutamate;Glutamine;Aspartate;GSH;Creatine;Ethanolamine;Choline;Phosphocholine;Betaine;Succinate;Taurine;Glycine;Ascorbate;Phosphoethanolamine;Inosine;Glycerol;myo-Inositol
F0_CTRL1;CTRL1;F0;CTRL;F0_CTRL;-1,881124963;;-0,367030507;-0,17525122;0,245742465;0,466821557;0,198623183;0,037627234;0,042485594;;-0,162569389;0,161220096;-0,047333355;0,147555116;0,180038228;0,005638877;-0,147153005;0,249527513;0,188290007;-0,429274131;0,381527564;0,425433343;0,43898994;0,374367441
F0_CTRL2;CTRL2;F0;CTRL;F0_CTRL;-0,121756276;0,125994561;0,287131142;-0,036025216;-0,090415176;0,064551073;0,038805317;0,07780916;-0,023381609;-0,689353787;-0,562783728;-0,019458287;0,116025356;-0,078459681;-0,015189494;0,00121693;-0,098420315;-0,070427797;-0,02760103;-0,10922802;-0,007099104;0,171688588;0,086758082;0,046972367
F0_CTRL3;CTRL3;F0;CTRL;F0_CTRL;0,580841291;-0,181687186;0,046216871;0,272810451;0,048867483;-0,140324985;-0,129659408;-0,014716933;-0,060112115;0,026035208;-0,901624889;-0,030305546;-0,189195249;-0,067581422;-0,044988879;0,05913599;0,390652863;-0,088037694;-0,085138637;0,158035721;-0,239942522;-0,370783311;-0,139093183;-0,262044457
F0_CTRL4;CTRL4;F0;CTRL;F0_CTRL;0,6784415;-0,145766552;-0,016934183;0,258871933;-0,024128731;-0,116345528;0,002416913;-0,017864106;-0,044876954;0,468121647;0,880306184;-0,071542894;-0,043253147;-0,019886209;-0,089316031;-0,029194662;-0,471513533;0,029446719;-0,070374551;0,144795926;-0,058843642;-0,038365088;-0,175624645;-0,010037116
F0_CTRL5;CTRL5;F0;CTRL;F0_CTRL;0,743598448;0,201459177;0,050616678;-0,320405946;-0,180066041;-0,274702117;-0,110186005;-0,082855355;0,085885084;0,195196932;0,746671822;-0,039913369;0,163756395;0,018372196;-0,030543823;-0,036797135;0,32643399;-0,120508741;-0,005175789;0,235670503;-0,075642296;-0,187973532;-0,211030194;-0,149258236
F0_HFD1;HFD1;F0;HFD;F0_HFD;0,648891213;-1,787576469;0,005000679;-0,789477473;-0,18059861;0,015219129;-0,397981342;-0,027270097;0,281968391;-0,195396106;0,491266657;-0,141946837;-0,002212252;-0,520691189;-0,145678732;0,235798976;-0,606111774;-0,005826434;-0,018734184;0,500678614;-0,223638634;-0,433248398;0,171098419;0,145375054
F0_HFD2;HFD2;F0;HFD;F0_HFD;0,237556754;-1,178371943;-0,441228131;-0,656068896;0,00267618;-0,073147822;-0,588638383;-0,013791048;0,151707557;-0,007578435;0,942932019;-0,181995425;-0,046349108;-0,362539204;-0,087697832;0,218445041;-0,299720226;-0,075250971;0,061431358;0,428131893;-0,129315384;-0,746099149;0,171120969;0,118018574
F0_HFD3;HFD3;F0;HFD;F0_HFD;0,590990241;-0,298552293;-0,134551057;-0,917627084;-0,177130602;-0,292787011;-0,843377311;-0,254457294;0,228391803;-0,37907932;0,984852256;-0,154879495;0,22448726;-0,371843961;-0,058042676;0,203480755;-1,34980537;0,024808989;0,005348863;0,160000351;-0,079606781;-0,463106834;0,224182193;0,008645342
F0_HFD4;HFD4;F0;HFD;F0_HFD;0,728276314;0,020963312;-0,184377938;-0,764115405;-0,181725789;0,020851046;-0,6626932;-0,035854286;0,288882988;0,127728028;1,227746421;-0,197596115;0,145554772;-0,511128719;-0,132195049;0,001652104;-0,837945378;0,147341124;-0,016833278;0,54564686;-0,131369917;-0,686626656;0,229480672;0,081385315
F0_HFD5;HFD5;F0;HFD;F0_HFD;0,452644932;0,17230229;-0,573171917;-0,458270553;-0,275354751;-0,335400539;-0,592569859;-0,022034921;-0,074442649;-0,447984815;0,911486477;-0,163538081;0,098267389;-0,508606853;-0,04283325;0,243095948;-0,779673012;-0,123601385;0,002284115;0,443138075;-0,040482073;-0,725822616;0,201595818;0,12327659
F0_HFD6;HFD6;F0;HFD;F0_HFD;0,42433389;-0,312582344;-0,394445315;-0,21127392;-0,5069788;-0,159922434;-0,737053325;-0,118300817;0,066319707;-0,303911621;1,245304811;-0,209893768;-0,077792678;-0,878904522;-0,049514455;-0,008501954;0,397944223;-0,229744668;-0,224880152;0,592946862;0,002635189;-1,051700645;0,244420589;0,003553414
F0_HFDt1;HFDt1;F0;HFDt;F0_HFDt;0,655167977;0,117845326;-0,002119796;-0,735031193;-0,014799979;0,056071053;-0,654197746;0,020955396;0,137290226;-0,062401912;1,034792119;-0,077176997;-0,06147174;-0,143555989;-0,111345925;-0,099483156;-0,386573268;0,114047198;0,057686086;0,118923664;-0,188684872;0,179286678;0,161514574;-0,173098518
F0_HFDt2;HFDt2;F0;HFDt;F0_HFDt;0,579095345;-0,066353676;0,057039243;-0,214162066;-0,009616368;0,337743903;-0,805449578;0,064245585;0,28676876;-0,400703978;1,100145864;-0,099300339;-0,378515568;-0,294172903;-0,241287548;-0,24566271;1,787459916;0,227548062;-0,039248954;0,458585052;-0,148628431;-0,282735104;-0,095074058;-0,176191596
F0_HFDt3;HFDt3;F0;HFDt;F0_HFDt;0,510739236;-0,143666718;-0,179532478;-0,576434577;-0,549583885;-0,137125235;-0,584319511;-0,033824823;0,284414746;-0,08219016;1,127070849;-0,060831101;-0,135491839;-0,323806008;-0,077709969;0,062880432;1,883520346;0,050558735;-0,041160702;0,336913935;-0,263743732;-0,457143963;-0,169168428;-0,087157119
F0_HFDt4;HFDt4;F0;HFDt;F0_HFDt;0,397993964;0,045890084;-0,256201402;-0,025063307;-0,35504911;-0,093518436;-0,761941527;0,041191297;0,196141823;-0,009002606;0,555019656;-0,05165515;-0,126030589;-0,619098653;-0,076260097;0,056950816;0,902197696;-0,006377172;-0,084612898;0,533657168;-0,295286121;-1,050838528;-0,025333995;-0,150706368
F0_HFDt5;HFDt5;F0;HFDt;F0_HFDt;1,046383283;0,101423567;-0,029224522;-0,089172247;-0,26998226;0,070903266;-0,764814184;0,131372707;0,234158686;-0,474239157;1,050404838;0,011314065;-0,172487919;-0,327988006;-0,073498216;-0,160722474;0,789508023;0,092399135;0,012801178;0,578752808;-0,223996037;-0,598921823;-0,109813698;-0,344617385
F1_CTRL1;CTRL1;F1;CTRL;F1_CTRL;0,103237851;0,125365048;0,000332973;-0,03324979;-0,014180682;-0,044164224;-0,044928238;-0,020851952;0,068671086;0,079072343;-0,04496383;-0,057901435;-0,063582969;-0,125529863;0,013239746;0,025588353;0,077583236;0,049653564;0,045851608;-0,007974176;-0,00457385;-0,031572717;0,235623156;0,010223533
F1_CTRL3;CTRL3;F1;CTRL;F1_CTRL;0,029100354;0,100244374;-0,023929656;-0,141427525;-0,050010057;-0,002838434;-0,204520064;-0,007898929;0,073141484;0,163546688;0,051967037;0,001411383;-0,040877292;-0,042124144;0,011481803;-0,010365506;-0,26093349;0,001960538;0,003141021;0,194227279;0,084638197;0,003273251;-0,151278356;-0,018732773
F1_CTRL4;CTRL4;F1;CTRL;F1_CTRL;-0,224194197;-0,288573671;-0,075933202;-0,160245822;0,101190388;0,045885971;0,183727745;-0,023304429;-0,147358758;-0,31642118;-0,020596254;0,064734663;0,064486467;0,210221098;-0,018737283;0,020772334;-0,414137265;-0,145585612;-0,028918303;-0,090875357;-0,033240503;0,051758858;-0,007905;-0,018885373
F1_CTRL5;CTRL5;F1;CTRL;F1_CTRL;0,014527794;0,036795126;-0,01564514;0,21109811;-0,039571802;-0,093945311;0,107198052;0,025607465;-0,020838926;0,100233296;0,033569084;-0,036039918;0,041183672;-0,040953291;0,01010237;-0,004246605;0,330069338;0,084434359;-0,005983174;-0,121080157;-0,018686694;-0,046112147;-0,04841838;0,029312234
F1_CTRL6;CTRL6;F1;CTRL;F1_CTRL;0,077328199;0,026169123;0,115175026;0,123825028;0,002572153;0,095061997;-0,041477495;0,026447846;0,026385114;-0,026431149;-0,019976037;0,027795307;-0,001209878;-0,001613799;-0,016086637;-0,031748577;0,267418181;0,00953715;-0,014091152;0,02570241;-0,02813715;0,022652755;-0,02802142;-0,001917621
F1_HFD1;HFD1;F1;HFD;F1_HFD;0,24541322;0,220550138;0,211864509;0,041378417;0,145912283;0,114124698;0,65927749;0,082080094;-0,017100051;0,203959102;-0,810324109;0,004787101;0,573365047;0,448262765;-0,050011027;0,097115943;-0,59375508;0,037058542;0,186413595;-0,073688468;-0,135588622;0,12869599;0,102380615;0,058635797
F1_HFD2;HFD2;F1;HFD;F1_HFD;0,577418356;0,635636298;0,387425612;0,046181637;0,064842669;0,146649821;0,925868883;0,056847391;-0,130101443;0,493186173;-0,841269351;-0,039887491;0,575575405;0,579057384;-0,025960501;0,046883447;-0,671347453;0,060536487;0,181935071;-0,503649622;-0,1754252;-0,076547086;-0,028976583;-0,01203462
F1_HFD3;HFD3;F1;HFD;F1_HFD;0,237425319;0,318200967;0,341672346;0,200880641;0,221332879;0,198423681;0,120318076;0,027895215;-0,13588688;-0,048794027;-0,072764229;-0,003444769;0,080754797;0,301500238;0,01032793;-0,022168743;-0,690131085;0,014505935;0,055049742;-0,155641861;0,057963455;-0,085572672;-0,191945436;-0,064210205
F1_HFD4;HFD4;F1;HFD;F1_HFD;0,068305274;0,07404105;0,158008614;-0,068608174;-0,001560452;0,184611724;0,219613875;0,046036825;0,025097248;0,011351997;-0,495826449;0,020959565;0,110324666;0,303613882;0,017606462;0,053507704;-0,255380192;0,046624537;0,175600362;-0,031251977;0,020904525;0,163228764;-0,038596883;0,021699231
F1_HFD5;HFD5;F1;HFD;F1_HFD;0,181157423;0,374413755;0,14469517;0,436569235;-0,110856655;-0,198257528;0,255061871;-0,012376499;0,152917905;0,118263541;-0,022291159;0,01529601;0,16574733;0,283081007;0,02543266;-0,025217949;-0,04118086;0,10182997;0,081647262;-0,094767389;-0,091466374;-0,018904856;-0,356043931;-0,04687578
F1_HFD6;HFD6;F1;HFD;F1_HFD;0,301349198;0,14275584;0,327725534;0,263032826;0,039469383;0,09220224;0,57070581;0,038141727;-0,084148287;-0,121170689;-0,064777831;-0,002859623;-0,087412814;0,275824064;0,054373624;0,027439347;-0,616707806;0,051278656;0,168485678;-0,012736057;-0,031057757;-0,15219592;0,025169792;0,01297944
F1_HFDt1;HFDt1;F1;HFDt;F1_HFDt;0,439193616;0,473218;0,314290884;0,601815482;0,042451412;-0,13275553;0,845051636;0,024837395;-0,019770695;0,08819273;-1,971328074;0,020920626;0,639139476;0,391812568;-0,080102712;0,063107955;-0,270142795;0,043082477;0,08235567;-0,176956584;-0,230397781;0,036394697;-0,079124592;0,027312072
F1_HFDt2;HFDt2;F1;HFDt;F1_HFDt;0,045247731;0,185817369;0,117142493;0,255466971;0,053744821;-0,031529757;0,316213468;0,027476903;0,071312926;0,034128232;0,192503576;-0,002378289;0,185127375;0,153877398;0,027265685;-0,000369769;-0,407808159;0,155371098;0,084429615;0,152568757;-0,006569289;-0,052941763;-0,23535231;-0,012110942
F1_HFDt3;HFDt3;F1;HFDt;F1_HFDt;-0,095124628;-0,205735334;-0,128366558;0,105295776;-0,120020477;0,013350055;0,066149111;0,041889076;-0,020902221;0,058885287;-0,509132315;0,051595327;-0,281019036;-0,349401801;0,03869487;0,093533466;0,1828636;0,109427921;0,027746274;-0,824594175;0,072554496;-0,000378677;-0,133479945;0,071792362
F1_HFDt4;HFDt4;F1;HFDt;F1_HFDt;0,142429308;0,04079908;0,144240222;-0,238587118;0,144343185;0,136699374;0,859108307;-0,009778578;-0,191929375;0,027639582;-0,687655513;4,22009E-05;0,757530359;0,477969063;-0,050208627;0,013657188;-0,765601017;0,028155121;0,170618633;0,07734978;-0,183177106;0,047143349;-0,247013441;0,000727296
F1_HFDt5;HFDt5;F1;HFDt;F1_HFDt;0,251571486;0,474190197;0,256439236;0,099223707;0,087408971;0,209226679;0,653760934;0,017207017;0,134094603;0,170634738;-0,304187935;0,027630996;0,495413692;0,314528873;-0,035104886;-0,116741624;-0,06396457;0,034059184;0,171106555;0,000374383;-0,158156321;-0,034764099;-0,130172021;-0,142767541
F1_HFDt6;HFDt6;F1;HFDt;F1_HFDt;0,11751444;0,217994302;0,071067041;0,066530123;-0,130435232;-0,087823777;0,154428264;-0,03719287;0,207804683;0,077946204;0,099109142;-0,013885667;0,177946562;0,006874414;0,017439063;-0,067736155;0,161585324;0,164398743;0,037021148;0,240091184;-0,014409114;-0,10474696;-0,159999873;-0,009767684
F2_CTRL1;CTRL1;F2;CTRL;F2_CTRL;0,170118022;0,045973356;0,107539041;-0,207938768;0,260569928;0,278924586;0,355818365;0,012098611;0,036907721;-0,006651163;0,014578022;-0,002536927;-0,095204552;0,223962879;-0,036578864;0,010140378;0,103937936;0,024115661;0,045283168;0,123482705;-0,064649523;0,082285768;0,130752071;0,003152505
F2_CTRL2;CTRL2;F2;CTRL;F2_CTRL;-0,254119413;-0,214616595;-0,133082474;-0,208868591;-0,229541869;-0,519781604;-0,002610816;-0,167638877;0,149220095;-0,096322527;0,155207708;-0,00490582;0,151736528;-0,108202142;0,028952099;0,079923577;-0,040795997;-0,01669361;0,025556543;0,064086632;0,031655718;-0,014591128;-0,046618684;0,019497871
F2_CTRL3;CTRL3;F2;CTRL;F2_CTRL;-0,011503377;0,060790853;-0,060117819;0,167036486;-0,012324044;0,113876186;0,144589783;0,076605742;0,08427669;0,278715484;0,310197924;-0,022903154;-0,06328269;-0,332538434;-0,030756757;-0,047525443;-0,021944021;0,013922968;-0,106830448;0,245638183;-0,012404271;-0,174695085;-0,060499337;-0,029587225
F2_CTRL4;CTRL4;F2;CTRL;F2_CTRL;-0,135485768;-0,163916686;-0,063296012;0,017621743;0,037660242;0,108024788;-0,523931991;-0,032854461;-0,18083287;-0,283612584;-0,030765762;0,00437113;-0,060458777;-0,119698354;0,035208748;-0,021044891;0,185303839;-0,029497068;-0,039207884;0,189717795;0,002375307;-0,16248062;0,227931355;0,033671899
F2_CTRL5;CTRL5;F2;CTRL;F2_CTRL;0,058834185;0,017444303;0,032554486;0,080570078;-0,000764969;0,009301029;0,022917419;0,057224729;-0,066057087;0,126701673;-0,646512262;0,027940176;-0,136720778;0,1784315;0,049884222;-0,027213001;-0,399682365;-0,026871868;0,079247595;-0,72801634;0,089412191;0,198406486;-0,211372243;-0,014512417
F2_CTRL6;CTRL6;F2;CTRL;F2_CTRL;0,172156351;0,254324769;0,116402777;0,151579052;-0,055599288;0,009655014;0,00321724;0,054564256;-0,023514549;-0,018830883;0,197294368;-0,001965404;0,203930269;0,158044552;-0,046709448;0,00571938;0,173180609;0,035023917;-0,004048975;0,105091024;-0,046389421;0,071074579;-0,040193162;-0,012222632
F2_HFD1;HFD1;F2;HFD;F2_HFD;-0,192003396;-0,223382811;-0,280917935;0,154788217;-0,104833517;-0,264306935;1,139075049;-0,070039164;-0,06074312;0,114656908;-0,034030291;-0,024649224;-0,0532114;-0,324207178;-0,013089493;0,052712457;-0,007840145;-0,048364326;-0,010885183;0,451534215;-0,066721856;-0,486219133;0,093876727;-0,040270655
F2_HFD3;HFD3;F2;HFD;F2_HFD;0,377437057;0,292663882;0,197084623;0,406462378;0,557580067;0,082895819;1,241573868;0,079412496;-0,11198813;0,363692642;-0,698048919;-0,017628945;1,205387431;0,96308383;-0,21569181;-0,030056662;-0,715964586;0,080094041;-0,067262295;-0,610180336;-0,318463341;0,07378593;0,147104681;-0,119071611
F2_HFD5;HFD5;F2;HFD;F2_HFD;0,502072375;0,33853857;0,082040296;0,665137567;0,02220603;-0,352713109;1,473371372;0,072656141;-0,211023356;0,092276641;-0,395263871;-0,00621483;0,698726391;0,337987478;-0,085397836;0,049361742;-0,150250431;-0,043148366;-0,099256113;-0,725444452;-0,249738295;-0,066185542;-0,024572641;0,001521784
F2_HFD6;HFD6;F2;HFD;F2_HFD;0,29229398;0,140062276;0,135512955;0,417575298;0,118472429;-0,30714442;1,458794355;0,004061333;-0,26718144;-0,254254626;-0,126153415;0,047698381;1,182812655;0,932307715;-0,162417079;0,055228462;-0,238710759;-0,030266559;-0,106994571;-0,329681775;-0,390511655;0,13368864;-0,049162497;-0,059914872
F2_HFDt1;HFDt1;F2;HFDt;F2_HFDt;0,119753772;0,000658507;0,023553055;0,869906678;-0,220199535;-0,23095941;-0,323276699;0,085629073;-0,234364212;0,061783207;-0,551936963;0,037797902;-0,072872722;-0,519130548;0,049845916;-0,040577882;0,321535072;-0,112471403;0,000963995;0,669906281;0,027132613;-1,070646973;-0,143182053;-0,027193818
F2_HFDt2;HFDt2;F2;HFDt;F2_HFDt;0,188627446;0,094794608;0,008397434;0,196137654;-0,156375865;-0,153528682;-0,138499023;0,087239247;-0,100608769;0,212789618;0,119888158;-0,021077594;0,098067392;-0,517001192;0,002109267;-0,037543678;0,09238872;-0,129204199;-0,031566951;0,636410786;0,02943384;-0,966326517;-0,243414292;0,008947839
F2_HFDt3;HFDt3;F2;HFDt;F2_HFDt;0,089902791;0,050996474;-0,11627546;0,490809644;-0,133905171;-0,085743102;1,026184924;0,052234098;-0,107846988;0,134153593;-1,13145597;0,03551323;0,686913935;0,049804689;-0,074230747;0,066704101;0,42535713;0,073776877;-0,085917065;0,301238249;-0,230004045;-0,741865534;-0,044544829;0,026920898
F2_HFDt4;HFDt4;F2;HFDt;F2_HFDt;0,693860073;0,611332985;0,234736728;0,350497446;0,156346223;-0,11211552;1,207496535;-0,046523832;-0,267614594;0,064175029;-0,729962799;-0,029377744;0,918970652;0,367179716;-0,13181686;0,03316007;-0,131626055;-0,075937036;-0,142617788;-0,155742163;-0,344183899;-0,046282728;-0,186301983;0,042663024
F2_HFDt6;HFDt6;F2;HFDt;F2_HFDt;-0,029243982;0,01033758;-0,085688822;0,274195506;-0,291012862;-0,275382866;-0,40982845;0,024209433;-0,186194;0,069806339;0,13432347;0,016768471;0,086595525;-0,404689804;0,038711893;-0,015113295;0,047788467;-0,010129961;-0,126633564;0,647527872;0,084408326;-0,58477737;-0,409328231;-0,046115427
